Age,Gender,Education_Level,Facebook_Time,Instagram_Time,TikTok_Time,YouTube_Time,Usage_Period,Emotion,Sleep_Quality
39,Female,High School,4.5,1.6,1.0,0.9,Evening,Happy,None
41,Female,master,1.8,3.5,5.8,0.2, ,Happy,GOOD
56,Female,High School,0.6,3.9,0.8,1.2, ,Neutral,Good
42,Male,Bachelor,3.0,1.2,4.4,1.3,Afternoon,Sad,poor
30,Male,Bachelor,0.6,1.4,1.2,4.0,Late Night,,None
29,Male,Bachelor,3.4,2.0,4.4,1.3,Evening,,Good
twenty,Male,Bachelor,4.5,3.2,4.8,5.7,late night,Happy,None
58,Female,High School,2.0,2.1,5.8,3.1,Late Night,Happy,None
17,Female,,1.1,2.5,4.4,4.5,Evening,Sad,poor
51,Male,master,4.7,3.6,0.7,2.5,Evening,Anxious,GOOD
21,Male,master,3.9,1.6,2.8,3.0,Morning,Neutral, Fair 
35,Male,High School,1.1,2.9,3.0,1.4,late night,Happy,GOOD
23,Female,High School,1.8,3.2,3.2,3.5,Morning,,poor
53,Female,Bachelor,2.9,1.2,3.7,5.4,Afternoon,Sad,poor
32,Male,Bachelor,2.4,2.8,3.2,0.9,Morning,Neutral,poor
18,,Bachelor,0.4,2.2,4.4,0.9,Morning,Sad,Good
39,Male,master,0.5,3.2,1.2,2.5,Late Night,Neutral,GOOD
28,,High School,4.2,1.8,0.8,5.5, ,Neutral,GOOD
23,Female,,2.7,1.9,1.1,0.2,Evening,Happy,None
40,Male,Bachelor,1.9,0.7,4.9,2.5,late night,Sad,None
16,Male,master,3.0,1.2,0.8,5.4,Morning,Sad,None
34,Female,High School,4.9,3.2,5.3,3.5,late night,,poor
42,Female,Bachelor,3.4,,2.1,2.2, ,,GOOD
twenty,Female,Bachelor,2.4,0.4,5.9,1.6, ,Happy,poor
21,Female,High School,4.8,3.3,4.4,2.6,Morning,Happy,Good
58,Female,High School,4.3,1.6,0.9,1.1,Afternoon,Anxious,None
22,Female,,3.0,2.2,3.7,1.1,Morning,,poor
twenty,Male,master,4.2,2.8,4.4,4.0,Late Night,Neutral,poor
49,Male,High School,0.7,1.6,4.9,5.2,Evening,Sad,Good
28,Male,Bachelor,2.4,1.6,0.7,,Afternoon,Happy, Fair 
31,Female,Bachelor,5.0,0.7,2.0,1.1,Morning,Sad,GOOD
50,Female,master,3.5,2.4,5.3,4.0,late night,Sad, Fair 
54,,High School,4.2,2.3,3.0,2.8,Afternoon,Anxious,None
18,Male,High School,3.5,2.5,5.8,0.4,Afternoon,,poor
16,Female,High School,2.0,,1.1,5.8,Morning,Happy,Good
20,Female,Bachelor,3.7,3.6,missing,2.6,Afternoon,Sad,Good
56,Male,Bachelor,4.2,3.6,missing,1.3,late night,Happy,GOOD
18,Female,High School,1.9,0.8,0.8,0.2, ,Neutral, Fair 
43,Female,Doctorate,3.5,2.8,0.8,3.4,Afternoon,Anxious,GOOD
32,femail,Bachelor,3.5,1.9,5.0,0.4, ,Neutral,poor
40,Male,High School,4.5,1.4,3.1,0.6,late night,Happy,GOOD
58,Male,High School,2.9,3.9,5.8,,Morning,Happy,Good
48,Female,High School,2.0,1.4,3.7,0.4,Evening,,Good
24,Female,Doctorate,2.7,2.9,4.6,6.0,Afternoon,Sad,None
50,Male,Bachelor,2.8,1.2,0.3,1.1,Evening,Sad,None
28,Male,Bachelor,1.8,2.8,3.2,2.5,late night,Neutral,poor
45,mal,Bachelor,4.2,3.6,1.0,2.5,Afternoon,Anxious, Fair 
,Male,Bachelor,3.9,3.9,1.2,0.2, ,Sad,GOOD
29,Female,master,2.5,2.6,1.7,3.4,Late Night,,poor
22,Female,High School,3.5,2.2,0.9,3.9,Evening,Neutral,None
28,Female,Bachelor,3.5,3.6,2.5,1.1,Afternoon,Neutral,GOOD
37,Female,High School,4.8,1.2,4.9,1.1,Evening,,None
54,Male,High School,2.5,1.9,5.0,4.3,Afternoon,Anxious,GOOD
35,Female,Bachelor,3.0,3.3,2.4,1.3,Morning,, Fair 
30,Female,High School,1.1,1.8,3.1,2.2, ,Anxious,poor
59,Male,High School,0.3,0.7,2.0,0.4,Evening,,GOOD
32,Male,Bachelor,1.1,2.4,5.0,3.1,Late Night,,Good
twenty,,,,1.6,0.8,0.2,Late Night,Happy,Good
38,Female,High School,0.5,1.4,1.0,1.1,late night,Neutral,GOOD
40,Male,High School,1.8,1.6,1.5,0.2,Afternoon,,GOOD
39,,master,0.3,2.9,5.6,2.2,Evening,,GOOD
59,,master,2.5,0.2,4.4,0.9,late night,Sad,Good
55,Female,Bachelor,4.8,1.6,4.9,3.8,Evening,Neutral,Good
43,femail,Bachelor,3.4,3.2,1.0,4.5,Afternoon,Sad,GOOD
29,Male,Bachelor,1.9,2.1,3.1,1.2,Late Night,Neutral,None
59,Male,High School,4.5,2.1,2.0,0.9,Morning,Sad,None
15,Female,Doctorate,0.5,2.8,2.2,5.7,Late Night,, Fair 
39,Female,master,4.2,2.5,0.8,0.2,late night,,poor
21,femail,High School,2.7,2.3,2.6,1.6, ,Happy,None
23,Female,High School,1.1,1.8,0.7,1.1,Morning,Sad,Good
38,femail,Doctorate,4.3,0.8,3.7,0.4,late night,Anxious,None
15,femail,Bachelor,1.8,3.9,4.8,2.2,Afternoon,Happy, Fair 
58,mal,Bachelor,2.4,1.2,0.9,3.4,Morning,Sad, Fair 
22,Female,Bachelor,3.4,0.2,4.0,1.6,late night,Sad,poor
38,Female,Bachelor,0.6,0.7,2.3,2.5,Afternoon,Happy,None
25,Female,Doctorate,3.7,3.9,0.7,0.2,Late Night,,Good
31,Male,Doctorate,0.3,0.8,1.1,0.9, ,Sad,Good
22,mal,master,4.7,0.3,2.9,1.1,Afternoon,,GOOD
49,,Bachelor,2.7,2.9,missing,1.2,Evening,Happy,Good
49,Male,master,2.4,0.4,4.4,4.7,Afternoon,,poor
47,Male,Bachelor,2.5,3.9,0.4,2.4,Afternoon,Neutral,poor
19,Female,Bachelor,4.2,3.9,1.0,3.8, ,Anxious,Good
56,Female,High School,2.1,3.5,4.9,4.7,Evening,Sad,Good
53,,master,2.9,1.2,2.8,2.5,late night,Anxious,GOOD
55,Male,master,1.1,1.8,0.3,1.1,late night,,Good
42,Male,Bachelor,2.7,1.7,2.5,2.5,Afternoon,Sad,GOOD
21,Female,master,0.6,1.8,2.6,0.2,Evening,,GOOD
23,Male,Bachelor,3.5,3.4,2.4,0.1,Evening,Neutral,Good
22,Male,High School,0.3,1.8,4.8,5.8, ,Happy, Fair 
26,Female,High School,3.5,2.4,3.6,0.2,Late Night,Sad, Fair 
48,Female,High School,2.8,3.3,5.0,0.4,late night,Neutral,GOOD
47,Male,Bachelor,0.5,,2.4,0.4, ,Neutral,Good
,Female,High School,4.2,3.4,0.8,1.2,Morning,Sad, Fair 
37,Female,Bachelor,0.5,2.1,2.5,2.7,late night,,Good
38,Female,Bachelor,0.7,0.8,2.6,1.3, ,Neutral,Good
51,Male,Bachelor,1.9,1.4,missing,2.5,late night,Anxious,Good
49,Female,Bachelor,4.9,1.8,1.0,4.3,Late Night,Neutral,None
58,,Bachelor,4.5,3.4,5.9,3.0,Morning,,Good
54,Female,Bachelor,4.5,3.9,3.6,,Late Night,,None
36,mal,High School,4.8,1.9,4.9,5.7,Morning,Anxious,GOOD
41,Female,Bachelor,4.8,2.2,2.9,,Afternoon,Neutral, Fair 
49,Male,Bachelor,4.7,2.8,2.9,0.4, ,, Fair 
15,Female,Bachelor,2.8,1.7,3.2,3.1,Morning,Sad, Fair 
49,Female,Doctorate,0.6,1.2,5.0,1.2,Late Night,Happy, Fair 
51,femail,High School,0.4,3.6,4.9,0.9,late night,Happy, Fair 
twenty,Male,Bachelor,1.8,3.9,5.1,2.5,Morning,Happy, Fair 
28,Female,,3.0,2.1,5.6,0.9, ,Neutral, Fair 
17,Female,Bachelor,2.7,1.8,5.0,5.7,Morning,Anxious,GOOD
15,Female,Bachelor,,2.3,0.3,0.1,Evening,,Good
19,Male,Bachelor,4.5,,1.2,3.9,late night,Sad,poor
40,,Bachelor,2.5,1.9,3.0,2.5, ,Sad,None
28,Female,master,1.5,3.6,3.5,5.2, ,Neutral,poor
53,Male,High School,2.7,1.7,1.5,1.1,Afternoon,Happy,poor
41,femail,High School,2.4,3.2,5.8,1.4,Late Night,Neutral,Good
23,Female,Bachelor,1.2,1.2,3.4,2.8,Afternoon,Anxious,Good
29,,master,4.3,,5.8,1.1, ,Anxious,Good
29,Male,Bachelor,2.1,0.7,4.9,3.5,late night,, Fair 
40,Female,High School,3.5,2.8,3.1,0.9,Morning,,GOOD
56,Female,Bachelor,4.2,3.3,2.2,5.7,Morning,Anxious, Fair 
27,,master,4.2,3.9,missing,1.4,late night,Anxious,GOOD
46,Male,High School,2.6,1.2,2.1,5.4, ,Anxious,GOOD
53,Male,Bachelor,3.7,1.2,5.6,1.3,Morning,Neutral,poor
